Symbol,Category_cl
MYO10,Protein Coding
MYO15A,Protein Coding
MYO15B,Protein Coding
MYO16,Protein Coding
MYO16-AS1,lncRNA
MYO16-AS2,lncRNA
MYO18A,Protein Coding
MYO18B,Protein Coding
MYO18B-AS1,lncRNA
MYO19,Protein Coding
MYOC,Protein Coding
MYOCD,TF
MYOCD-AS1,lncRNA
MYOCOS,Protein Coding
MYOD1,TF
MYOF,Protein Coding
MYOG,TF
MYOM1,Protein Coding
MYOM2,Protein Coding
MYOM3,Protein Coding
MYOM3-AS1,lncRNA
MYOPARR,lncRNA
MYORG,Protein Coding
MYOSLID,lncRNA
MYOSLID-AS1,lncRNA
MYOT,Protein Coding
MYOZ1,Protein Coding
MYOZ2,Protein Coding
MYOZ3,Protein Coding
MYOZ3-AS1,lncRNA
MYPN,Protein Coding
MYPOP,TF
MYRF,TF
MYRF-AS1,lncRNA
MYRFL,TF
MYRIP,Protein Coding
MYSM1,TF
MYT1,TF
MYT1L,TF
MYT1L-AS1,lncRNA
MYZAP,Protein Coding
MZB1,Protein Coding
MZF1,TF
MZF1-AS1,lncRNA
MZT1,Protein Coding
MZT1P1,Pseudogene
MZT1P2,Pseudogene
MZT2A,Protein Coding
MZT2B,Protein Coding
N4BP1,Protein Coding
N4BP2,Protein Coding
N4BP2L1,Protein Coding
N4BP2L2,Protein Coding
N4BP2L2-IT2,lncRNA
N4BP3,Protein Coding
N6AMT1,Protein Coding
NAA10,Protein Coding
NAA11,Protein Coding
NAA15,TF
NAA16,TF
NAA20,Protein Coding
NAA20P1,Pseudogene
NAA25,Protein Coding
NAA30,Protein Coding
NAA35,Protein Coding
NAA38,Protein Coding
NAA40,Protein Coding
NAA50,Protein Coding
NAA50P1,Pseudogene
NAA60,Protein Coding
NAA80,Protein Coding
NAAA,Protein Coding
NAALAD2,Protein Coding
NAALADL1,Protein Coding
NAALADL2,Protein Coding
NAALADL2-AS1,lncRNA
NAALADL2-AS2,lncRNA
NAALADL2-AS3,lncRNA
NAB1,TF
NAB1P1,Pseudogene
NAB2,TF
NABP1,Protein Coding
NABP2,Protein Coding
NACA,Protein Coding
NACA2,Protein Coding
NACA3P,Pseudogene
NACA4P,Pseudogene
NACAD,Protein Coding
NACAP2,Pseudogene
NACAP5,Pseudogene
NACAP6,Pseudogene
NACAP7,Pseudogene
NACAP8,Pseudogene
NACAP9,Pseudogene
NACAP10,Pseudogene
NACC1,TF
NACC2,TF
NADK,Protein Coding
NADK2,Protein Coding
NADK2-AS1,lncRNA
NADSYN1,Protein Coding
NAE1,Protein Coding
NAF1,Protein Coding
NAGA,Protein Coding
NAGK,Protein Coding
NAGLU,Protein Coding
NAGPA,Protein Coding
NAGPA-AS1,lncRNA
NAGS,Protein Coding
NAIF1,Protein Coding
NAIP,Protein Coding
NAIPP1,Pseudogene
NAIPP2,Pseudogene
NAIPP3,Pseudogene
NAIPP4,Pseudogene
NALCN,Protein Coding
NALCN-AS1,lncRNA
NALF1,Protein Coding
NALF1-IT1,lncRNA
NALF2,Protein Coding
NALT1,lncRNA
NAMA,lncRNA
NAMPT,Protein Coding
NAMPTP1,Pseudogene
NAMPTP2,Pseudogene
NAMPTP3,Pseudogene
NANOG,TF
NANOGNB,TF
NANOGNBP1,Pseudogene
NANOGNBP2,Pseudogene
NANOGNBP3,Pseudogene
NANOGP1,TF
NANOGP2,Pseudogene
NANOGP3,Pseudogene
NANOGP4,Pseudogene
NANOGP5,Pseudogene
NANOGP6,Pseudogene
NANOGP7,Pseudogene
NANOGP8,Protein Coding
NANOGP9,Pseudogene
NANOGP10,Pseudogene
NANOGP11,Pseudogene
NANOS1,Protein Coding
NANOS2,Protein Coding
NANOS3,Protein Coding
NANP,Protein Coding
NANS,Protein Coding
NAP1L1,Protein Coding
NAP1L1P1,Pseudogene
NAP1L1P2,Pseudogene
NAP1L1P3,Pseudogene
NAP1L2,TF
NAP1L3,TF
NAP1L4,TF
NAP1L4P1,Pseudogene
NAP1L4P2,Pseudogene
NAP1L4P3,Pseudogene
NAP1L5,Protein Coding
NAP1L6P,Pseudogene
NAPA,Protein Coding
NAPA-AS1,lncRNA
NAPB,Protein Coding
NAPEPLD,Protein Coding
NAPG,Protein Coding
NAPGP1,Pseudogene
NAPGP2,Pseudogene
NAPRT,Protein Coding
NAPSA,Protein Coding
NAPSB,Pseudogene
NARF,Protein Coding
NARF-AS1,lncRNA
NARF-AS2,lncRNA
NARF-IT1,lncRNA
NARS1,Protein Coding
NARS1P1,Pseudogene
NARS1P2,Pseudogene
NARS2,Protein Coding
NASP,Protein Coding
NASPP1,Pseudogene
NAT1,Protein Coding
NAT2,Protein Coding
NAT8,Protein Coding
NAT8B,Protein Coding
NAT8L,Protein Coding
NAT9,Protein Coding
NAT10,Protein Coding
NAT14,TF
NAT16,Protein Coding
NATD1,Protein Coding
NATP,Pseudogene
NAV1,Protein Coding
NAV2,Protein Coding
NAV2-AS1,lncRNA
NAV2-AS2,lncRNA
NAV2-AS3,lncRNA
NAV2-AS4,lncRNA
NAV2-AS5,lncRNA
NAV2-AS6,lncRNA
NAV2-IT1,lncRNA
NAV3,Protein Coding
NAXD,Protein Coding
NAXE,Protein Coding
NBAS,Protein Coding
NBAT1,lncRNA
NBDY,Protein Coding
NBEA,Protein Coding
NBEAL1,Protein Coding
NBEAL2,Protein Coding
NBEAP1,Pseudogene
NBEAP2,Pseudogene
NBEAP3,Pseudogene
NBEAP4,Pseudogene
NBEAP5,Pseudogene
NBEAP6,Pseudogene
NBL1,Protein Coding
NBN,Protein Coding
NBPF1,Protein Coding
NBPF2P,Pseudogene
NBPF3,Protein Coding
NBPF4,Protein Coding
NBPF5P,Pseudogene
NBPF6,Protein Coding
NBPF7P,Pseudogene
NBPF8,other
NBPF9,Protein Coding
NBPF10,Protein Coding
NBPF11,Protein Coding
NBPF12,Protein Coding
NBPF13P,Pseudogene
NBPF14,Protein Coding
NBPF15,Protein Coding
NBPF17P,Pseudogene
NBPF18P,Pseudogene
NBPF19,Protein Coding
NBPF20,Protein Coding
NBPF21P,Pseudogene
NBPF22P,Pseudogene
NBPF25P,Pseudogene
NBPF26,Protein Coding
NBR1,Protein Coding
NBR2,lncRNA
NCALD,TF
NCAM1,Protein Coding
NCAM1-AS1,lncRNA
NCAM2,Protein Coding
NCAN,Protein Coding
NCAPD2,Protein Coding
NCAPD2P1,Pseudogene
NCAPD3,Protein Coding
NCAPG,Protein Coding
NCAPG2,Protein Coding
NCAPGP1,Pseudogene
NCAPGP2,Pseudogene
NCAPH,Protein Coding
NCAPH2,Protein Coding
NCBP1,Protein Coding
NCBP2,Protein Coding
NCBP2-AS1,lncRNA
NCBP2AS2,Protein Coding
NCBP2L,Protein Coding
NCBP3,Protein Coding
NCCRP1,Protein Coding
NCDN,Protein Coding
NCEH1,Protein Coding
NCF1,Protein Coding
NCF1B,Pseudogene
NCF1C,Pseudogene
NCF2,Protein Coding
NCF4,Protein Coding
NCF4-AS1,lncRNA
NCK1,Protein Coding
NCK1-DT,lncRNA
NCK2,Protein Coding
NCKAP1,Protein Coding
NCKAP1L,Protein Coding
NCKAP1P1,Pseudogene
NCKAP5,Protein Coding
NCKAP5-AS1,lncRNA
NCKAP5-AS2,lncRNA
NCKAP5-IT1,lncRNA
NCKAP5L,Protein Coding
NCKIPSD,Protein Coding
NCL,Protein Coding
NCLN,Protein Coding
NCLP1,Pseudogene
NCLP2,Pseudogene
NCMAP,Protein Coding
NCMAP-DT,lncRNA
NCOA1,TF
NCOA2,TF
NCOA3,TF
NCOA4,TF
NCOA4P1,Pseudogene
NCOA4P2,Pseudogene
NCOA4P3,Pseudogene
NCOA4P4,Pseudogene
NCOA5,TF
NCOA5LP,Pseudogene
NCOA6,TF
NCOA7,TF
NCOA7-AS1,lncRNA
NCOR1,TF
NCOR1P1,Pseudogene
NCOR1P2,Pseudogene
NCOR1P3,Pseudogene
NCOR1P4,Pseudogene
NCOR2,TF
NCR1,Protein Coding
NCR2,Protein Coding
NCR3,Protein Coding
NCR3LG1,Protein Coding
NCRUPAR,lncRNA
NCS1,TF
NCSTN,Protein Coding
NCSTNP1,Pseudogene
NDC1,Protein Coding
NDC80,Protein Coding
NDE1,Protein Coding
NDE1P1,Pseudogene
NDE1P2,Pseudogene
NDEL1,Protein Coding
NDFIP1,Protein Coding
NDFIP1P1,Pseudogene
NDFIP2,Protein Coding
NDFIP2-AS1,lncRNA
NDN,TF
NDNF,Protein Coding
NDNF-AS1,lncRNA
NDOR1,Protein Coding
NDP,Protein Coding
NDP-AS1,lncRNA
NDRG1,Protein Coding
NDRG2,Protein Coding
NDRG3,Protein Coding
NDRG4,Protein Coding
NDST1,Protein Coding
NDST1-AS1,lncRNA
NDST2,Protein Coding
NDST3,Protein Coding
NDST4,Protein Coding
NDUFA1,Protein Coding
NDUFA2,Protein Coding
NDUFA3,Protein Coding
NDUFA3P1,Pseudogene
NDUFA3P2,Pseudogene
NDUFA3P3,Pseudogene
NDUFA3P4,Pseudogene
NDUFA3P5,Pseudogene
NDUFA3P6,Pseudogene
NDUFA4,Protein Coding
NDUFA4L2,Protein Coding
NDUFA4P1,Pseudogene
NDUFA4P2,Pseudogene
NDUFA5,Protein Coding
NDUFA5P1,Pseudogene
NDUFA5P2,Pseudogene
NDUFA5P3,Pseudogene
NDUFA5P4,Pseudogene
NDUFA5P5,Pseudogene
NDUFA5P6,Pseudogene
NDUFA5P7,Pseudogene
NDUFA5P8,Pseudogene
NDUFA5P9,Pseudogene
NDUFA5P10,Pseudogene
NDUFA5P11,Pseudogene
NDUFA5P12,Pseudogene
NDUFA6,Protein Coding
NDUFA6-DT,lncRNA
NDUFA7,Protein Coding
NDUFA8,Protein Coding
NDUFA8P1,Pseudogene
NDUFA9,Protein Coding
NDUFA9P1,Pseudogene
NDUFA10,Protein Coding
NDUFA11,Protein Coding
NDUFA12,Protein Coding
NDUFA12P1,Pseudogene
NDUFA13,TF
NDUFAB1,Protein Coding
NDUFAB1P1,Pseudogene
NDUFAF1,Protein Coding
NDUFAF2,Protein Coding
NDUFAF2P1,Pseudogene
NDUFAF2P2,Pseudogene
NDUFAF3,Protein Coding
NDUFAF4,Protein Coding
NDUFAF4P1,Pseudogene
NDUFAF4P2,Pseudogene
NDUFAF4P3,Pseudogene
NDUFAF4P4,Pseudogene
NDUFAF5,Protein Coding
NDUFAF6,Protein Coding
NDUFAF7,Protein Coding
NDUFAF8,Protein Coding
NDUFB1,Protein Coding
NDUFB1P1,Pseudogene
NDUFB1P2,Pseudogene
NDUFB2,Protein Coding
NDUFB2-AS1,lncRNA
NDUFB2P1,Pseudogene
NDUFB3,Protein Coding
NDUFB3P1,Pseudogene
NDUFB3P2,Pseudogene
NDUFB3P3,Pseudogene
NDUFB3P4,Pseudogene
NDUFB3P5,Pseudogene
NDUFB4,Protein Coding
NDUFB4P1,Pseudogene
NDUFB4P2,Pseudogene
NDUFB4P3,Pseudogene
NDUFB4P4,Pseudogene
NDUFB4P5,Pseudogene
NDUFB4P6,Pseudogene
NDUFB4P7,Pseudogene
NDUFB4P8,Pseudogene
NDUFB4P9,Pseudogene
NDUFB4P10,Pseudogene
NDUFB4P11,Pseudogene
NDUFB4P12,Pseudogene
NDUFB5,Protein Coding
NDUFB5P1,Pseudogene
NDUFB5P2,Pseudogene
NDUFB6,Protein Coding
NDUFB7,Protein Coding
NDUFB8,Protein Coding
NDUFB8P1,Pseudogene
NDUFB8P2,Pseudogene
NDUFB8P3,Pseudogene
NDUFB9,Protein Coding
NDUFB9P1,Pseudogene
NDUFB9P2,Pseudogene
NDUFB9P3,Pseudogene
NDUFB10,Protein Coding
NDUFB10P1,Pseudogene
NDUFB10P2,Pseudogene
NDUFB11,Protein Coding
NDUFB11P1,Pseudogene
NDUFC1,Protein Coding
NDUFC2,Protein Coding
NDUFC2-KCTD14,other
NDUFS1,Protein Coding
NDUFS2,Protein Coding
NDUFS3,Protein Coding
NDUFS4,Protein Coding
NDUFS5,Protein Coding
NDUFS5P1,Pseudogene
NDUFS5P2,Pseudogene
NDUFS5P3,Pseudogene
NDUFS5P4,Pseudogene
NDUFS5P5,Pseudogene
NDUFS5P6,Pseudogene
NDUFS5P7,Pseudogene
NDUFS6,Protein Coding
NDUFS6P1,Pseudogene
NDUFS7,Protein Coding
NDUFS8,Protein Coding
NDUFV1,Protein Coding
NDUFV1-DT,lncRNA
NDUFV2,Protein Coding
NDUFV2-AS1,lncRNA
NDUFV2P1,Pseudogene
NDUFV3,Protein Coding
NEAT1,lncRNA
NEB,Protein Coding
NEBL,Protein Coding
NEBL-AS1,lncRNA
NECAB1,Protein Coding
NECAB2,Protein Coding
NECAB3,Protein Coding
NECAP1,Protein Coding
NECAP1P1,Pseudogene
NECAP1P2,Pseudogene
NECAP2,Protein Coding
NECTIN1,Protein Coding
NECTIN1-AS1,lncRNA
NECTIN1-DT,lncRNA
NECTIN2,Protein Coding
NECTIN3,Protein Coding
NECTIN3-AS1,lncRNA
NECTIN4,Protein Coding
NECTIN4-AS1,lncRNA
NEDD1,Protein Coding
NEDD4,Protein Coding
NEDD4L,Protein Coding
NEDD8,TF
NEDD8-MDP1,other
NEDD8P1,Pseudogene
NEDD9,Protein Coding
NEFH,Protein Coding
NEFHP1,Pseudogene
NEFL,Protein Coding
NEFLP1,Pseudogene
NEFM,Protein Coding
NEFMP1,Pseudogene
NEGR1,Protein Coding
NEGR1-IT1,lncRNA
NEIL1,Protein Coding
NEIL2,TF
NEIL3,Protein Coding
NEK1,Protein Coding
NEK2,Protein Coding
NEK2-DT,lncRNA
NEK2P1,Pseudogene
NEK2P2,Pseudogene
NEK2P3,Pseudogene
NEK2P4,Pseudogene
NEK3,Protein Coding
NEK4,Protein Coding
NEK4P1,Pseudogene
NEK4P2,Pseudogene
NEK4P3,Pseudogene
NEK5,Protein Coding
NEK6,Protein Coding
NEK7,Protein Coding
NEK8,Protein Coding
NEK9,Protein Coding
NEK10,Protein Coding
NEK11,Protein Coding
NELFA,Protein Coding
NELFB,Protein Coding
NELFCD,Protein Coding
NELFE,Protein Coding
NELL1,Protein Coding
NELL2,Protein Coding
NEMF,Protein Coding
NEMP1,Protein Coding
NEMP2,Protein Coding
NEMP2-DT,lncRNA
NENF,Protein Coding
NENFP1,Pseudogene
NENFP2,Pseudogene
NENFP3,Pseudogene
NEO1,Protein Coding
NEPNP,Pseudogene
NEPRO,Protein Coding
NEPRO-AS1,lncRNA
NES,Protein Coding
NET1,Protein Coding
NETO1,Protein Coding
NETO1-DT,lncRNA
NETO2,Protein Coding
NEU1,Protein Coding
NEU2,Protein Coding
NEU3,Protein Coding
NEU4,Protein Coding
NEURL1,Protein Coding
NEURL1-AS1,lncRNA
NEURL1B,Protein Coding
NEURL2,Protein Coding
NEURL3,Protein Coding
NEURL4,Protein Coding
NEUROD1,TF
NEUROD2,TF
NEUROD4,TF
NEUROD6,TF
NEUROG1,TF
NEUROG2,TF
NEUROG2-AS1,lncRNA
NEUROG3,TF
NEXMIF,Protein Coding
NEXN,Protein Coding
NEXN-AS1,lncRNA
NF1,Protein Coding
NF1P1,Pseudogene
NF1P2,Pseudogene
NF1P3,Pseudogene
NF1P4,Pseudogene
NF1P5,Pseudogene
NF1P6,Pseudogene
NF1P7,Pseudogene
NF1P8,Pseudogene
NF1P9,Pseudogene
NF1P10,Pseudogene
NF1P11,Pseudogene
NF1P12,Pseudogene
NF2,Protein Coding
NFAM1,TF
NFASC,Protein Coding
NFAT5,TF
NFATC1,TF
NFATC2,TF
NFATC2IP,TF
NFATC2IP-AS1,lncRNA
NFATC3,TF
NFATC4,TF
NFE2,TF
NFE2L1,TF
NFE2L1-DT,lncRNA
NFE2L2,TF
NFE2L3,TF
NFE2L3P1,Pseudogene
NFE2L3P2,Pseudogene
NFE4,other
NFIA,TF
NFIA-AS1,lncRNA
NFIA-AS2,lncRNA
NFIB,TF
NFIB-AS1,lncRNA
NFIC,TF
NFIL3,TF
NFILZ,Protein Coding
NFIX,TF
NFKB1,TF
NFKB2,TF
NFKBIA,TF
NFKBIB,TF
NFKBID,Protein Coding
NFKBIE,TF
NFKBIL1,TF
NFKBIZ,TF
NFRKB,TF
NFS1,Protein Coding
NFU1,Protein Coding
NFU1P1,Pseudogene
NFU1P2,Pseudogene
NFX1,TF
NFXL1,TF
NFYA,TF
NFYAP1,Pseudogene
NFYB,TF
NFYBP1,Pseudogene
NFYC,TF
NFYC-AS1,lncRNA
NFYCP1,Pseudogene
NFYCP2,Pseudogene
NGB,Protein Coding
NGDN,Protein Coding
NGEF,Protein Coding
NGF,Protein Coding
NGF-AS1,lncRNA
NGFR,Protein Coding
NGFR-AS1,lncRNA
NGLY1,Protein Coding
NGRN,Protein Coding
NHEJ1,Protein Coding
NHIP,lncRNA
NHLH1,TF
NHLH2,TF
NHLRC1,Protein Coding
NHLRC2,Protein Coding
NHLRC3,Protein Coding
NHLRC4,Protein Coding
NHP2,Protein Coding
NHP2P1,Pseudogene
NHP2P2,Pseudogene
NHS,Protein Coding
NHS-AS1,lncRNA
NHSL1,Protein Coding
NHSL1-AS1,lncRNA
NHSL2,Protein Coding
NIBAN1,Protein Coding
NIBAN2,Protein Coding
NIBAN3,Protein Coding
NICN1,Protein Coding
NICN2P,Pseudogene
NID1,Protein Coding
NID2,Protein Coding
NIF3L1,Protein Coding
NIFK,Protein Coding
NIFK-AS1,lncRNA
NIFKP1,Pseudogene
NIFKP2,Pseudogene
NIFKP3,Pseudogene
NIFKP4,Pseudogene
NIFKP5,Pseudogene
NIFKP6,Pseudogene
NIFKP7,Pseudogene
NIFKP8,Pseudogene
NIFKP9,Pseudogene
NIM1K,Protein Coding
NIN,Protein Coding
NINJ1,Protein Coding
NINJ2,Protein Coding
NINJ2-AS1,lncRNA
NINL,Protein Coding
NIP7,Protein Coding
NIP7P1,Pseudogene
NIP7P2,Pseudogene
NIP7P3,Pseudogene
NIPA1,Protein Coding
NIPA2,Protein Coding
NIPA2P1,Pseudogene
NIPA2P2,Pseudogene
NIPA2P3,Pseudogene
NIPA2P4,Pseudogene
NIPA2P5,Pseudogene
NIPAL1,Protein Coding
NIPAL2,Protein Coding
NIPAL3,Protein Coding
NIPAL4,Protein Coding
NIPAL4-DT,lncRNA
NIPBL,Protein Coding
NIPBL-DT,lncRNA
NIPSNAP1,Protein Coding
NIPSNAP2,Protein Coding
NIPSNAP3A,Protein Coding
NIPSNAP3B,Protein Coding
NISCH,Protein Coding
NIT1,Protein Coding
NIT2,Protein Coding
NKAIN1,Protein Coding
NKAIN1P1,Pseudogene
NKAIN1P2,Pseudogene
NKAIN2,Protein Coding
NKAIN3,Protein Coding
NKAIN4,Protein Coding
NKAP,Protein Coding
NKAPD1,Protein Coding
NKAPL,TF
NKAPP1,Pseudogene
NKD1,Protein Coding
NKD2,TF
NKG7,Protein Coding
NKILA,lncRNA
NKIRAS1,Protein Coding
NKIRAS2,Protein Coding
NKPD1,Protein Coding
NKRF,TF
NKTR,Protein Coding
NKX1-1,TF
NKX1-2,TF
NKX2-1,TF
NKX2-1-AS1,lncRNA
NKX2-2,TF
NKX2-2-AS1,lncRNA
NKX2-3,TF
NKX2-4,TF
NKX2-5,TF
NKX2-6,TF
NKX2-8,TF
NKX3-1,TF
NKX3-2,TF
NKX6-1,TF
NKX6-2,TF
NKX6-3,TF
NLE1,Protein Coding
NLGN1,Protein Coding
NLGN1-AS1,lncRNA
NLGN2,Protein Coding
NLGN3,Protein Coding
NLGN4X,Protein Coding
NLGN4Y,Protein Coding
NLGN4Y-AS1,lncRNA
NLK,TF
NLN,Protein Coding
NLRC3,Protein Coding
NLRC4,Protein Coding
NLRC5,Protein Coding
NLRP1,Protein Coding
NLRP2,Protein Coding
NLRP2B,Protein Coding
NLRP3,Protein Coding
NLRP3P1,Pseudogene
NLRP4,Protein Coding
NLRP5,Protein Coding
NLRP6,Protein Coding
NLRP7,Protein Coding
NLRP7P1,Pseudogene
NLRP8,Protein Coding
NLRP9,Protein Coding
NLRP9P1,Pseudogene
NLRP10,Protein Coding
NLRP11,Protein Coding
NLRP12,Protein Coding
NLRP13,Protein Coding
NLRP14,Protein Coding
NLRX1,Protein Coding
NMB,Protein Coding
NMBR,Protein Coding
NMBR-AS1,lncRNA
NMD3,Protein Coding
NMD3P1,Pseudogene
NMD3P2,Pseudogene
NME1,Protein Coding
NME1-NME2,other
NME1P1,Pseudogene
NME2,TF
NME2P1,Pseudogene
NME2P2,Pseudogene
NME2P3,Pseudogene
NME3,Protein Coding
NME4,Protein Coding
NME5,Protein Coding
NME6,Protein Coding
NME7,Protein Coding
NME8,Protein Coding
NME9,Protein Coding
NMI,TF
NMNAT1,Protein Coding
NMNAT1P1,Pseudogene
NMNAT1P2,Pseudogene
NMNAT1P3,Pseudogene
NMNAT1P4,Pseudogene
NMNAT1P5,Pseudogene
NMNAT2,Protein Coding
NMNAT3,Protein Coding
NMRAL1,Protein Coding
NMRAL2P,Pseudogene
NMRK1,Protein Coding
NMRK2,Protein Coding
NMS,Protein Coding
NMT1,Protein Coding
NMT2,Protein Coding
NMTRL-TAA1-1,other
NMTRL-TAA2-1,other
NMTRL-TAA3-1,other
NMTRL-TAA4-1,other
NMTRL-TAA5-1,other
NMTRL-TAA6-1,other
NMTRP-TGG1-1,other
NMTRQ-CTG1-1,other
NMTRQ-TTG1-1,other
NMTRQ-TTG2-1,other
NMTRQ-TTG3-1,other
NMTRQ-TTG4-1,other
NMTRQ-TTG5-1,other
NMTRQ-TTG6-1,other
NMTRQ-TTG7-1,other
NMTRQ-TTG8-1,other
NMTRQ-TTG9-1,other
NMTRQ-TTG10-1,other
NMTRQ-TTG11-1,other
NMTRQ-TTG12-1,other
NMTRQ-TTG13-1,other
NMTRQ-TTG14-1,other
NMTRQ-TTG15-1,other
NMTRS-TGA1-1,other
NMTRS-TGA2-1,other
NMTRS-TGA3-1,other
NMTRV-TAC1-1,other
NMU,Protein Coding
NMUR1,Protein Coding
NMUR2,Protein Coding
NNAT,Protein Coding
NNMT,Protein Coding
NNT,Protein Coding
NNT-AS1,lncRNA
NOA1,Protein Coding
NOB1,Protein Coding
NOBOX,TF
NOC2L,Protein Coding
NOC2LP1,Pseudogene
NOC2LP2,Pseudogene
NOC3L,TF
NOC4L,TF
NOCT,Protein Coding
NOD1,Protein Coding
NOD2,Protein Coding
NODAL,Protein Coding
NOG,Protein Coding
NOL3,Protein Coding
NOL4,Protein Coding
NOL4L,Protein Coding
NOL4L-DT,lncRNA
NOL6,Protein Coding
NOL7,Protein Coding
NOL8,Protein Coding
NOL8P1,Pseudogene
NOL9,Protein Coding
NOL10,Protein Coding
NOL11,Protein Coding
NOL12,Protein Coding
NOLC1,Protein Coding
NOLC1P1,Pseudogene
NOM1,Protein Coding
NOMO1,Protein Coding
NOMO2,Protein Coding
NOMO3,Protein Coding
NONO,TF
NONOP1,Pseudogene
NONOP2,Pseudogene
NOP2,TF
NOP9,Protein Coding
NOP10,Protein Coding
NOP14,Protein Coding
NOP14-AS1,lncRNA
NOP16,Protein Coding
NOP53,Protein Coding
NOP53-AS1,lncRNA
NOP56,Protein Coding
NOP56P1,Pseudogene
NOP56P2,Pseudogene
NOP56P3,Pseudogene
NOP58,Protein Coding
NOPCHAP1,Protein Coding
NORAD,lncRNA
NOS1,Protein Coding
NOS1AP,Protein Coding
NOS2,Protein Coding
NOS2P1,Pseudogene
NOS2P2,Pseudogene
NOS2P3,Pseudogene
NOS2P4,Pseudogene
NOS3,Protein Coding
NOSIP,Protein Coding
NOSTRIN,Protein Coding
NOTCH1,TF
NOTCH2,TF
NOTCH2NLA,Protein Coding
NOTCH2NLB,Protein Coding
NOTCH2NLC,Protein Coding
NOTCH2NLR,Pseudogene
NOTCH2P1,Pseudogene
NOTCH3,TF
NOTCH4,TF
NOTO,TF
NOTUM,Protein Coding
NOVA1,Protein Coding
NOVA1-DT,lncRNA
NOVA2,Protein Coding
NOX1,Protein Coding
NOX3,Protein Coding
NOX4,Protein Coding
NOX5,Protein Coding
NOXA1,Protein Coding
NOXO1,Protein Coding
NOXRED1,Protein Coding
NPAP1,Protein Coding
NPAP1L,Protein Coding
NPAP1P1,Pseudogene
NPAP1P2,Pseudogene
NPAP1P3,Pseudogene
NPAP1P4,Pseudogene
NPAP1P5,Pseudogene
NPAP1P6,Pseudogene
NPAP1P7,Pseudogene
NPAP1P8,Pseudogene
NPAS1,TF
NPAS2,TF
NPAS2-AS1,lncRNA
NPAS3,TF
NPAS4,TF
NPAT,TF
NPB,Protein Coding
NPBWR1,Protein Coding
NPBWR2,Protein Coding
NPC1,Protein Coding
NPC1L1,Protein Coding
NPC2,Protein Coding
NPDC1,Protein Coding
NPEPL1,Protein Coding
NPEPPS,Protein Coding
NPEPPSP1,Pseudogene
NPFF,Protein Coding
NPFFR1,Protein Coding
NPFFR2,Protein Coding
NPHP1,Protein Coding
NPHP3,Protein Coding
NPHP3-ACAD11,other
NPHP3-AS1,lncRNA
NPHP4,Protein Coding
NPHS1,Protein Coding
NPHS2,Protein Coding
NPIPA1,Protein Coding
NPIPA2,Protein Coding
NPIPA3,Protein Coding
NPIPA5,Protein Coding
NPIPA7,Protein Coding
NPIPA8,Protein Coding
NPIPA9,other
NPIPB1P,Pseudogene
NPIPB2,Protein Coding
NPIPB3,Protein Coding
NPIPB4,Protein Coding
NPIPB5,Protein Coding
NPIPB6,Protein Coding
NPIPB7,other
NPIPB8,Protein Coding
NPIPB9,Protein Coding
NPIPB10P,Pseudogene
NPIPB11,Protein Coding
NPIPB12,Protein Coding
NPIPB13,Protein Coding
NPIPB14P,Pseudogene
NPIPB15,Protein Coding
NPIPP1,Pseudogene
NPL,Protein Coding
NPLOC4,Protein Coding
NPLP1,Pseudogene
NPM1,TF
NPM1P1,Pseudogene
NPM1P2,Pseudogene
NPM1P3,Pseudogene
NPM1P4,Pseudogene
NPM1P5,Pseudogene
NPM1P6,Pseudogene
NPM1P7,Pseudogene
NPM1P8,Pseudogene
NPM1P9,Pseudogene
NPM1P10,Pseudogene
NPM1P11,Pseudogene
NPM1P12,Pseudogene
NPM1P13,Pseudogene
NPM1P14,Pseudogene
NPM1P17,Pseudogene
NPM1P18,Pseudogene
NPM1P19,Pseudogene
NPM1P20,Pseudogene
NPM1P21,Pseudogene
NPM1P22,Pseudogene
NPM1P23,Pseudogene
NPM1P24,Pseudogene
NPM1P25,Pseudogene
NPM1P26,Pseudogene
NPM1P27,Pseudogene
NPM1P28,Pseudogene
NPM1P29,Pseudogene
NPM1P30,Pseudogene
NPM1P31,Pseudogene
NPM1P32,Pseudogene
NPM1P33,Pseudogene
NPM1P34,Pseudogene
NPM1P35,Pseudogene
NPM1P36,Pseudogene
NPM1P37,Pseudogene
NPM1P38,Pseudogene
NPM1P39,Pseudogene
NPM1P40,Pseudogene
NPM1P41,Pseudogene
NPM1P42,Pseudogene
NPM1P43,Pseudogene
NPM1P44,Pseudogene
NPM1P45,Pseudogene
NPM1P46,Pseudogene
NPM1P47,Pseudogene
NPM1P48,Pseudogene
NPM1P49,Pseudogene
NPM1P50,Pseudogene
NPM1P51,Pseudogene
NPM1P52,Pseudogene
NPM2,TF
NPM3,Protein Coding
NPNT,Protein Coding
NPPA,Protein Coding
NPPA-AS1,lncRNA
NPPB,Protein Coding
NPPC,Protein Coding
NPR1,Protein Coding
NPR2,Protein Coding
NPR3,Protein Coding
NPRL2,Protein Coding
NPRL3,Protein Coding
NPS,Protein Coding
NPSR1,Protein Coding
NPSR1-AS1,lncRNA
NPTN,Protein Coding
NPTN-IT1,lncRNA
NPTX1,Protein Coding
NPTX2,Protein Coding
NPTXR,Protein Coding
NPVF,Protein Coding
NPW,Protein Coding
NPY,Protein Coding
NPY1R,Protein Coding
NPY2R,Protein Coding
